Gewinde,Nenndurchmesser D,Steigung P,Gewindetyp,Reihe,Flankendurchmesser d2 = D2,Kerndurchmesser d3,Spannungsquerschnitt As,Montagezugspannung Schaftschrauben µ1 = 0.08 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 8.8 (660 N/mm²),"Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 8.8 (660 N/mm²)",Montagezugspannung Dehnschrauben µ1 = 0.08 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 8.8 (660) N/mm²,"Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 8.8 (660) N/mm²"
M78.0x2.0,78.0,2.0,Feingewinde,Reihe 3,76.701,75.546,4551.215,818.1,957.4,,574.40625,804.9,941.9,,565.125,789.7,924.1,,554.5031250000001,773.0,904.6,,542.7468749999999,755.2,883.7,,530.165625,3723349.0,4357333.2,,2614246.3875,3663273.0,4286789.4,,2572005.35625,3594094.5,4205777.8,,2523662.934375,3518089.2,4117029.1,,2470157.765625,3437077.6,4021908.7,,2412897.7125,811.4550872983558,949.5751021576503,,569.7450612945902,795.34823721904,930.7266605754724,,558.4359963452835,777.1456659390484,909.4257792903758,,545.6554675742254,757.3456608008942,886.2555605116847,,531.7533363070108,736.4191362248785,861.7670743057089,,517.0602445834253,2946200.7532863556,3447681.732569139,,2068609.0395414834,2887720.604995286,3379247.516483845,,2027548.5098903072,2821631.390624335,3301909.0741348597,,1981145.4444809158,2749742.273202787,3217783.511194751,,1930670.1067168508,2673763.0311786947,3128871.6322303875,,1877322.9793382324
M80.0x0.5,80.0,0.5,Feingewinde,Reihe 1,79.675,79.387,4967.785,821.6,961.5,,576.88125,809.1,946.8,,568.115625,794.6,929.8,,557.90625,778.4,910.9,,546.5625,761.0,890.5,,534.290625,4081532.2,4776525.3,,2865821.990625,4019434.8,4703498.8,,2822276.325,3947402.0,4619046.5,,2771558.3156250003,3866923.8,4525155.4,,2715204.9375,3780484.4,4423812.5,,2654240.94375,816.0810964951174,954.9885171751375,,572.9931103050825,800.9401136066394,937.2703457098972,,562.3622074259383,783.5885655655173,916.9653426830522,,550.1792056098313,764.5110345767463,894.6405723770434,,536.7843434262261,744.1742368413135,870.8421920483455,,522.5053152290072,3271952.5677033565,3828880.6643337156,,2297328.3986002295,3211247.1083412007,3757842.3608248094,,2254705.4164948855,3141678.725479979,3676432.551093593,,2205859.5306561557,3065190.277490885,3586924.792808482,,2152154.8756850893,2983652.99172959,3491508.8201090945,,2094905.2920654565
M80.0x3.0,80.0,3.0,Feingewinde,Reihe 1,78.051,76.319,4679.029,815.8,954.6,,572.75625,802.1,938.6,,563.165625,786.6,920.5,,552.3375,769.6,900.6,,540.375,751.4,879.3,,527.5875,3817151.9,4466601.1,,2679943.0968750003,3753049.2,4391736.6,,2635068.2531250003,3680524.2,4307046.2,,2584403.146875,3600980.7,4213933.5,,2528430.3000000003,3515822.4,4114270.2,,2468597.1750000003,808.3738908198375,945.9694467040651,,567.5816680224391,791.6712445755369,926.4237968437134,,555.8542781062281,772.9497038263265,904.5156108605948,,542.7093665163569,752.7146210873497,880.836258719239,,528.5017552315434,731.4380587085399,855.9381538078658,,513.5628922847195,2995384.1040114295,3505236.7174601834,,2103142.03047611,2933493.385343656,3432811.408380874,,2059686.8450285245,2864121.7663445394,3351631.8542329716,,2010979.1125397831,2789141.8024095143,3263889.3432451766,,1958333.605947106,2710302.694094352,3171630.812238071,,1902978.487342843
M80.0x4.0,80.0,4.0,Feingewinde,Reihe 1,77.402,75.093,4566.055,813.2,951.6,,571.0031250000001,799.1,935.1,,561.103125,783.2,916.5,,549.8625000000001,765.8,896.2,,537.69375,747.4,874.6,,524.803125,3713115.9,4345057.9,,2607231.7218750003,3648734.6,4269718.0,,2562027.703125,3576134.3,4184789.4,,2510702.390625,3496684.9,4092098.5,,2455139.259375,3412669.5,3993471.7,,2396279.94375,804.9058480068817,941.9110987314573,,565.1466592388743,787.5722153741959,921.6270605442719,,552.9762363265631,768.3061736009197,899.0816925117146,,539.4490155070287,747.619316589102,874.8736683489491,,524.9242010093694,725.9836677502756,849.555355877982,,509.7332135267892,2887479.388881589,3378965.2423082422,,2027379.1453849452,2825297.5733496714,3306199.2879623817,,1983719.5727774291,2756183.5289388634,3225321.1508859037,,1935192.690531542,2681972.5222847615,3138478.4835247207,,1883087.0901148324,2604357.866804389,3047652.8228562,,1828591.6937137197
M80.0x0.75,80.0,0.75,Feingewinde,Reihe 1,79.513,79.08,4938.533,821.1,960.8,,576.46875,808.4,946.0,,567.6,793.8,928.9,,557.390625,777.6,909.9,,545.94375,760.1,889.4,,533.671875,4055029.4,4744942.5,,2846909.896875,3992310.1,4671852.2,,2803111.36875,3920207.5,4587403.3,,2752692.009375,3840203.3,4493571.2,,2696161.25625,3753778.9,4392331.3,,2635556.1375,815.3685712710309,954.1547110618446,,572.4928266371068,800.0726518493135,936.2552308874946,,561.7531385324968,782.5837760126233,915.7895251211548,,549.4737150726929,763.3889073067498,893.3274447206646,,535.9964668323988,742.9556285333839,869.4161610497046,,521.6496966298228,3243860.6456296467,3796007.138502778,,2277604.2831016667,3183007.3912866632,3724795.883420564,,2234877.5300523383,3113429.6836562264,3643375.161725371,,2186025.0970352227,3037064.857506564,3554012.067294915,,2132407.2403769493,2955773.1432934725,3458883.4655561913,,2075330.079333715
M80.0x6.0,80.0,6.0,Feingewinde,Reihe 1,76.103,72.639,4344.073,807.6,945.0,,566.9812499999999,792.5,927.4,,556.4625,775.8,907.9,,544.7062500000001,757.8,886.8,,532.125,738.9,864.7,,518.821875,3508273.4,4105149.0,,2463007.903125,3442677.9,4028693.3,,2417313.73125,3370131.8,3943983.9,,2366243.75625,3291938.5,3852323.9,,2311589.8781250003,3209835.5,3756319.9,,2253800.071875,797.2433112965934,932.9443004534604,,559.7665802720762,778.6438507983278,911.1789743384686,,546.7073846030812,758.302153662497,887.3748606688795,,532.4249164013277,736.7381120308495,862.1403438658878,,517.2842063195327,714.4195244981715,836.0228478170092,,501.6137086902055,2676119.471821362,3131629.169152658,,1878977.5014915948,2613686.363008156,3058569.1482010335,,1835141.4889206204,2545405.060394834,2978665.496206721,,1787199.2977240325,2473020.694312458,2893960.386961387,,1736376.2321768324,2398103.5318434346,2806291.3670508275,,1683774.8202304966
M80.0x1.0,80.0,1.0,Feingewinde,Reihe 1,79.35,78.773,4909.305,820.5,960.2,,576.05625,807.8,945.2,,567.1875,793.0,928.0,,556.771875,776.7,908.9,,545.3249999999999,759.1,888.3,,533.053125,4028084.8,4713914.7,,2828035.85625,3965736.6,4640275.1,,2784496.48125,3893078.9,4555835.0,,2733362.98125,3813057.2,4462067.3,,2677166.765625,3726653.4,4360935.6,,2616920.41875,814.6441700901065,953.3070075522523,,571.9842045313513,799.1932785429075,935.226177018296,,561.1357062109776,781.5674017759083,914.6001510143607,,548.7600906086165,762.2558065246672,892.0014757203552,,535.2008854322131,741.7268589401222,867.9782391852493,,520.7869435111496,3215863.6381568164,3763244.682949466,,2257946.8097696793,3154870.185888882,3691869.366465713,,2215121.619879428,3085290.8305497817,3610446.7166008083,,2166268.029960485,3009056.9860770484,3521236.8986008014,,2112742.139160481,2928017.559919413,3426403.5275652707,,2055842.1165391624
M80.0x1.5,80.0,1.5,Feingewinde,Reihe 1,79.026,78.16,4851.294,819.4,958.9,,575.334375,806.4,943.7,,566.15625,791.5,926.2,,555.740625,775.0,906.9,,544.0875,757.3,886.1,,531.7125,3975150.3,4651905.8,,2791116.178125,3912083.5,4578166.1,,2746590.4125,3839799.2,4493268.5,,2696061.121875,3759752.8,4399638.5,,2639528.4093750003,3673884.9,4298731.6,,2579493.6750000003,813.1563035687732,951.5658871549473,,570.9395322929684,797.3941206510403,933.12077948526,,559.872467691156,779.4938914329698,912.1737027407094,,547.3042216444256,759.9493185266742,889.3023940205763,,533.5814364123457,739.2301397123651,865.0565464719166,,519.03392788315,3160225.2202810314,3698135.896073547,,2218881.5376441283,3098967.5656767595,3626451.4066430163,,2175870.84398581,3029400.6748152003,3545043.3428688515,,2127026.005721311,2953443.258083605,3456157.0041403896,,2073694.2024842335,2872920.8896962167,3361928.700708338,,2017157.2204250032
M80.0x2.0,80.0,2.0,Feingewinde,Reihe 1,78.701,77.546,4793.506,818.2,957.5,,574.509375,805.0,942.0,,565.228125,789.9,924.3,,554.6062499999999,773.2,904.8,,542.85,755.3,883.9,,530.3718749999999,3922046.6,4589782.0,,2753914.1437500003,3858772.3,4515482.7,,2709424.36875,3786390.4,4430637.6,,2658508.359375,3706338.8,4337164.2,,2602154.775,3620535.1,4236980.0,,2542340.728125,811.6160524497736,949.7634656327139,,569.8580793796283,795.5413149659273,930.9526026197021,,558.5715615718213,777.3668475280108,909.6846088093744,,545.8107652856246,757.5905254572546,886.5421042584894,,531.9252625550936,736.6831692626739,862.0760491371717,,517.245629482303,3104876.497736235,3633366.11437219,,2180019.668623314,3043381.8113383674,3561404.247310855,,2136842.5483865133,2973854.506356494,3480042.5074384506,,2088025.5044630703,2898199.2289333637,3391509.7359858514,,2034905.8415915107,2818217.125717914,3297913.6577550066,,1978748.1946530037
M82.0x1.5,82.0,1.5,Feingewinde,Reihe 3,81.026,80.16,5101.343,819.5,959.0,,575.334375,806.5,943.8,,566.259375,791.6,926.3,,555.84375,775.1,907.0,,544.1906250000001,757.4,886.3,,531.8156250000001,4180550.6,4892187.9,,2934978.028125,4114233.1,4814647.5,,2888683.25625,4038223.1,4725374.0,,2835549.646875,3954051.0,4626918.1,,2776103.0343750003,3863757.2,4521320.3,,2712973.93125,813.2669124138786,951.6953230375174,,571.0171938225104,797.5275430688922,933.2769121018952,,559.966147261137,779.6473775338883,912.3533141354012,,547.4119884812408,760.119803026802,889.5018971590235,,533.7011382954141,739.4144669949204,865.2722486110771,,519.1633491666463,3324477.674334646,3890346.2146469257,,2334207.7287881556,3260138.179887237,3815055.31688932,,2289033.1901335916,3187047.52511303,3729523.699600354,,2237714.2197602126,3107222.5814299933,3636111.5314606302,,2181666.918876378,3022583.176670149,3537065.4195076213,,2122239.251704573
M82.0x3.0,82.0,3.0,Feingewinde,Reihe 3,80.051,78.319,4924.654,816.0,954.9,,572.9625,802.3,938.9,,563.3718749999999,786.8,920.8,,552.4406250000001,769.9,900.9,,540.5812500000001,751.7,879.7,,527.79375,4018517.7,4702552.1,,2821642.10625,3951049.9,4623757.6,,2774411.578125,3874717.8,4534621.4,,2720578.884375,3791491.1,4436620.8,,2662175.5875,3701862.4,4332218.1,,2599201.584375,808.6186674643105,946.2558874582356,,567.7535324749414,791.9620960162439,926.7641549126258,,556.0584929475755,773.2805250394108,904.9027420673957,,542.9416452404374,753.0787999026389,881.2624254179818,,528.7574552507891,731.8289341702565,856.3955612630662,,513.8373367578397,3155389.1698110397,3692476.688076748,,2215486.012846049,3090391.9501472567,3616416.111874449,,2169849.6671246695,3017492.7838193197,3531108.5768098426,,2118665.1460859054,2938661.676805725,3438859.4090279764,,2063315.645416786,2855740.518922788,3341824.0115053905,,2005094.4069032343
M82.0x1.0,82.0,1.0,Feingewinde,Reihe 3,81.35,80.773,5160.825,820.6,960.2,,576.1593750000001,807.8,945.3,,567.1875,793.1,928.1,,556.875,776.8,909.0,,545.428125,759.2,888.4,,533.053125,4234973.0,4955424.2,,2973457.678125,4168914.4,4878527.9,,2927155.48125,4093050.3,4789761.7,,2873934.421875,4008928.9,4691189.9,,2814859.059375,3918098.3,4584876.9,,2750993.85,814.7154180440122,953.3903828174609,,572.0342296904765,799.2796691712971,935.3272724344965,,561.196363460698,781.6671674845476,914.7168981202152,,548.8301388721292,762.3669572903373,892.1315457652884,,535.278927459173,741.8473309897056,868.1192171156129,,520.8715302693678,3381530.1357293385,3957109.733300289,,2374265.8399801734,3317463.040858407,3882137.6010045186,,2329282.5606027115,3244361.189708574,3796592.8815738633,,2277955.728944318,3164254.3929643556,3702850.8853838206,,2221710.5312302923,3079086.3291561636,3603186.129863595,,2161911.6779181575
M82.0x4.0,82.0,4.0,Feingewinde,Reihe 3,79.402,77.093,4808.735,813.5,951.9,,571.209375,799.4,935.4,,561.3093749999999,783.5,916.9,,550.06875,766.2,896.6,,538.0031250000001,747.8,875.1,,525.009375,3911905.9,4577434.8,,2746794.496875,3844102.8,4498090.7,,2699188.078125,3767643.9,4409129.1,,2645134.8000000003,3684452.8,4311511.8,,2587114.40625,3595972.0,4208124.0,,2524630.96875,805.2544965721825,942.319091733405,,565.391455040043,787.9825317403067,922.107217993976,,553.2643307963856,768.7694692908311,899.623847042462,,539.7743082254772,748.1263515960759,875.4670071868974,,525.2802043121384,726.5252641747841,850.1891389279389,,510.1134833567633,3044654.037886938,3562893.023059183,,2137735.8138355096,2979349.022278251,3486472.260112847,,2091883.3560677082,2906704.748429448,3401463.003481269,,2040877.8020887612,2828653.45916443,3310126.3883839077,,1986075.8330303445,2746980.1020829775,3214551.183288591,,1928730.7099731546
M82.0x0.5,82.0,0.5,Feingewinde,Reihe 3,81.675,81.387,5220.78,821.6,961.5,,576.88125,809.1,946.8,,568.115625,794.6,929.8,,557.90625,778.4,910.9,,546.5625,761.0,890.5,,534.290625,4289392.8,5019780.0,,3011770.059375,4224133.1,4943034.5,,2966006.6906250003,4148431.8,4854281.2,,2912705.8125,4063855.2,4755608.5,,2853482.56875,3973013.6,4649104.6,,2789413.790625,816.1155002396806,955.0287768762221,,573.0172661257333,800.9820494704437,937.3194195930724,,562.3916517558434,783.637181993918,917.0222342482019,,550.2133405489211,764.5653632136843,894.7041484415455,,536.8224890649274,744.2332660699899,870.9112688053073,,522.5467612831844,3439035.090179197,4024402.765103316,,2414641.6590619897,3375264.1310249837,3949777.1746037044,,2369866.3047622223,3302174.4667939264,3864246.716460977,,2318548.029876586,3221807.5898022507,3770200.3710451867,,2262120.222627112,3136130.016574488,3669939.3810978048,,2201963.628658683
M82.0x2.0,82.0,2.0,Feingewinde,Reihe 3,80.701,79.546,5042.08,818.3,957.6,,574.6125000000001,805.1,942.2,,565.3312500000001,790.0,924.5,,554.709375,773.4,905.0,,543.05625,755.5,884.1,,530.475,4125934.1,4828295.8,,2897242.21875,4059378.6,4750647.8,,2850445.434375,3983243.2,4661403.0,,2796889.0125,3899544.7,4563082.4,,2738133.028125,3809291.4,4457702.9,,2674697.4375,811.7686414718381,949.9420272542787,,569.9652163525673,795.7244393490124,931.1668971105464,,558.7001382663278,777.5767076394427,909.9301897908373,,545.9581138745024,757.8229270244199,886.8140635392148,,532.0884381235288,736.9338257588978,862.3693705689229,,517.4216223413538,3267712.6739810323,3823919.0865735486,,2294351.451944129,3203127.963581758,3748341.233978653,,2249004.7403871915,3130075.6554711033,3662854.4904449084,,2197712.694266945,3050558.320140541,3569802.289526165,,2141881.3737156987,2966470.838232326,3471402.0447399556,,2082841.2268439734
M82.0x0.75,82.0,0.75,Feingewinde,Reihe 3,81.513,81.08,5190.791,821.1,960.9,,576.46875,808.5,946.1,,567.6,793.9,929.0,,557.390625,777.6,910.0,,545.94375,760.1,889.5,,533.671875,4262158.5,4987831.1,,2992328.8312500003,4196754.5,4911007.4,,2946293.00625,4120969.0,4822244.8,,2893298.203125,4036359.1,4723619.8,,2833879.95,3945520.2,4617208.6,,2770179.121875,815.4210971639311,954.2161775322597,,572.5297065193558,800.1365109887485,936.3299596676843,,561.7979758006106,782.6576673200733,915.8759936724263,,549.5255962034557,763.4713583543412,893.4239299891227,,536.0543579934736,743.0451065161598,869.520869327421,,521.7125215964526,3410235.1302124215,3990700.6842911313,,2394420.410574679,3346312.2897234317,3915897.360314654,,2349538.416188793,3273212.6766257053,3830355.259881145,,2298213.1559286867,3192972.1419110447,3736456.761810797,,2241874.057086478,3107545.946980098,3636489.937955434,,2181893.96277326
M85.0x3.0,85.0,3.0,Feingewinde,Reihe 3,83.051,81.319,5304.873,816.2,955.2,,573.0656250000001,802.6,939.3,,563.578125,787.2,921.2,,552.75,770.2,901.3,,540.7875,752.1,880.2,,528.103125,4329837.3,5067214.7,,3040040.334375,4257691.1,4982867.2,,2989710.384375,4175996.0,4886849.0,,2932268.521875,4085813.2,4781282.0,,2868809.00625,3989795.0,4669349.2,,2801520.046875,808.96218277275,946.6578734574734,,567.9947240744841,792.3706285815705,927.2422249358802,,556.3453349615281,773.7455075148641,905.4468704961175,,543.2681222976705,753.5909378032227,881.8617357271755,,529.1170414363053,732.3788525214323,857.0390827378465,,514.2234496427078,3403197.697665802,3982465.3908855133,,2389479.234531308,3333399.2074192176,3900786.306554403,,2340471.7839326416,3255045.7683057757,3809096.1118471837,,2285457.6671083104,3170258.1395380027,3709876.5462678755,,2225925.9277607254,3081021.6816034066,3605450.904003987,,2163270.542402392
M85.0x2.0,85.0,2.0,Feingewinde,Reihe 3,83.701,82.546,5426.721,818.5,957.8,,574.7156249999999,805.3,942.4,,565.4343749999999,790.3,924.8,,554.8125,773.6,905.3,,543.1593750000001,755.8,884.4,,530.68125,4441771.1,5197713.4,,3118821.3375,4370138.4,5114141.9,,3068454.571875,4288737.6,5018631.6,,3010812.646875,4198111.4,4912810.5,,2947574.4375,4101515.7,4799392.1,,2879859.05625,811.9831937473795,950.1930990660824,,570.1158594396494,795.9820822228974,931.4683940906245,,558.8810364543747,777.8720994260216,910.2758610304508,,546.1655166182704,758.1501644165793,887.1970009130183,,532.318200547811,737.286870374631,862.7825078852065,,517.6695047311239,3519767.7434646697,4118877.1466075922,,2471326.2879645554,3450406.4603283405,4037709.6876182705,,2422625.812570962,3371903.686165043,3945844.739129306,,2367506.8434775835,3286413.455308691,3845802.9796165535,,2307481.787769932,3195975.6852209093,3739971.546535107,,2243982.9279210637
M85.0x6.0,85.0,6.0,Feingewinde,Reihe 3,81.103,77.639,4947.817,808.6,946.3,,567.80625,793.7,928.8,,557.2875,777.2,909.5,,545.634375,759.3,888.5,,533.15625,740.5,866.5,,519.853125,4000804.8,4682119.2,,2809401.375,3927082.4,4595532.4,,2757356.559375,3845443.4,4500039.6,,2699699.0625,3756877.4,4396135.4,,2637959.56875,3663858.5,4287283.4,,2572138.078125,798.6688416822703,934.6124743090398,,560.7674845854239,780.2926606576377,913.1084326844697,,547.8650596106818,760.1390074029405,889.5243703651432,,533.7146222190859,738.7267497874957,864.46747315558,,518.680483893348,716.5248553213158,838.4865328228163,,503.0919196936898,3062679.192021559,3583986.2885358674,,2150391.7731215204,2992211.5033930433,3501524.099715263,,2100914.459829158,2914927.689069742,3411085.5935922517,,2046651.3561553506,2832817.467122312,3314999.163653769,,1988999.4981922612,2747679.201227524,3215369.2780322083,,1929221.566819325
M85.0x0.5,85.0,0.5,Feingewinde,Reihe 3,84.675,84.387,5612.055,821.7,961.5,,576.88125,809.2,946.9,,568.115625,794.6,929.9,,557.90625,778.5,911.0,,546.5625,761.1,890.6,,534.3937500000001,4611425.6,5395990.9,,3237489.3375,4541274.9,5314054.9,,3188296.134375,4459338.9,5218649.9,,3131000.60625,4368984.8,5112582.1,,3067338.8625000003,4271335.1,4998096.2,,2999047.115625,816.1640200437507,955.0855553703466,,573.051333222208,801.0412013206312,937.3886398432918,,562.433183905975,783.7057650518153,917.1024910180818,,550.2614946108491,764.6420115080832,894.79384325414,,536.876305952484,744.3165522851662,871.0087313975348,,522.6052388385209,3697459.6315522585,4326814.462454771,,2596088.6774728624,3628948.8783570617,4246642.304460391,,2547985.3826762345,3550414.3262018985,4154740.1689596684,,2492844.1013758015,3464049.9957208363,4053675.526907362,,2432205.316144417,3371969.772721703,3945922.074461567,,2367553.2446769406
M85.0x4.0,85.0,4.0,Feingewinde,Reihe 3,82.402,80.093,5184.536,813.8,952.4,,571.415625,799.8,935.9,,561.515625,784.0,917.4,,550.4812499999999,766.7,897.2,,538.3125,748.4,875.7,,525.421875,4219175.4,4937752.1,,2962524.88125,4146591.9,4852207.2,,2911198.021875,4064676.2,4756293.3,,2853989.840625,3974983.8,4651565.7,,2790900.54375,3880106.7,4540098.2,,2724068.634375,805.7428759018856,942.8905994596533,,565.734359675792,788.5579414318012,922.7805697606184,,553.6683418563711,769.4197359565916,900.3847973960114,,540.2308784376069,748.8385014147934,876.3003739960349,,525.7802243976209,727.2863890821716,851.0798170110519,,510.64789020663113,3288217.2003742596,3847913.7451188145,,2308748.247071289,3218085.8981910595,3765845.2000108142,,2259507.1200064886,3139983.344249839,3674448.594334918,,2204669.1566009508,3055991.823568348,3576160.644601258,,2145696.386760755,2968038.1740902793,3473236.161169476,,2083941.6967016854
